2025-09-05 17:18:58 | ERROR | Kafka broker is not ready. Please check your Kafka setup. Exiting...
2025-09-05 17:38:47 | ERROR | Error checking Kafka: UnrecognizedBrokerVersion
2025-09-05 17:38:47 | ERROR | Kafka broker is not ready. Please check your Kafka setup. Exiting...
2025-09-05 17:38:48 | INFO | Logging to file: logs/project_log.log
2025-09-05 17:38:48 | INFO | Log sanitization enabled, personal info will be removed
2025-09-05 17:38:48 | INFO | START kafka_consumer_pokemon
2025-09-05 17:38:48 | INFO | [CONSUMER] Kafka topic: pokemon_battles
2025-09-05 17:38:48 | INFO | [CONSUMER] Group ID: pokemon_group
2025-09-05 17:38:48 | INFO | Kafka broker address: localhost:9092
2025-09-05 17:38:48 | INFO | Kafka API version override: (3, 5, 0)
2025-09-05 17:38:48 | INFO | Creating Kafka consumer. Topic='pokemon_battles' and group ID='pokemon_group'.
2025-09-05 17:38:48 | INFO | Kafka consumer created successfully.
2025-09-05 17:38:48 | INFO | [CONSUMER] Polling topic 'pokemon_battles'...
2025-09-05 17:39:59 | WARNING | Consumer interrupted by user.
2025-09-05 17:39:59 | INFO | END kafka_consumer_pokemon
2025-09-05 17:43:25 | INFO | Logging to file: logs/project_log.log
2025-09-05 17:43:25 | INFO | Log sanitization enabled, personal info will be removed
2025-09-05 17:43:25 | INFO | START kafka_producer_pokemon
2025-09-05 17:43:25 | INFO | Kafka broker address: localhost:9092
2025-09-05 17:43:25 | INFO | Kafka API version override: (3, 5, 0)
2025-09-05 17:43:25 | WARNING | Kafka not ready (attempt 1/5); retrying...
2025-09-05 17:43:26 | WARNING | Kafka not ready (attempt 2/5); retrying...
2025-09-05 17:43:27 | WARNING | Kafka not ready (attempt 3/5); retrying...
2025-09-05 17:43:28 | WARNING | Kafka not ready (attempt 4/5); retrying...
2025-09-05 17:43:29 | WARNING | Kafka not ready (attempt 5/5); retrying...
2025-09-05 17:43:30 | ERROR | Kafka not reachable after retries.
2025-09-05 17:43:30 | ERROR | Kafka broker is not ready. Please check your Kafka setup. Exiting...
2025-09-05 17:43:31 | INFO | Logging to file: logs/project_log.log
2025-09-05 17:43:31 | INFO | Log sanitization enabled, personal info will be removed
2025-09-05 17:43:31 | INFO | START kafka_consumer_pokemon
2025-09-05 17:43:31 | INFO | [CONSUMER] Kafka topic: pokemon_battles
2025-09-05 17:43:31 | INFO | [CONSUMER] Group ID: pokemon_group
2025-09-05 17:43:31 | INFO | Kafka broker address: localhost:9092
2025-09-05 17:43:31 | INFO | Kafka API version override: (3, 5, 0)
2025-09-05 17:43:31 | INFO | Creating Kafka consumer. Topic='pokemon_battles' and group ID='pokemon_group'.
2025-09-05 17:43:31 | INFO | Kafka consumer created successfully.
2025-09-05 17:43:31 | INFO | [CONSUMER] Polling topic 'pokemon_battles'...
2025-09-05 17:45:28 | WARNING | Consumer interrupted by user.
2025-09-05 17:45:28 | INFO | END kafka_consumer_pokemon
2025-09-05 17:45:31 | INFO | Logging to file: logs/project_log.log
2025-09-05 17:45:31 | INFO | Log sanitization enabled, personal info will be removed
2025-09-05 17:45:31 | INFO | START kafka_producer_pokemon
2025-09-05 17:45:31 | INFO | Kafka broker address: localhost:9092
2025-09-05 17:45:31 | INFO | Kafka API version override: (3, 5, 0)
2025-09-05 17:45:31 | WARNING | Kafka not ready (attempt 1/5); retrying...
2025-09-05 17:45:32 | WARNING | Kafka not ready (attempt 2/5); retrying...
2025-09-05 17:45:33 | WARNING | Kafka not ready (attempt 3/5); retrying...
2025-09-05 17:45:34 | WARNING | Kafka not ready (attempt 4/5); retrying...
2025-09-05 17:45:35 | WARNING | Kafka not ready (attempt 5/5); retrying...
2025-09-05 17:45:36 | ERROR | Kafka not reachable after retries.
2025-09-05 17:45:36 | ERROR | Kafka broker is not ready. Please check your Kafka setup. Exiting...
2025-09-05 17:45:36 | INFO | Logging to file: logs/project_log.log
2025-09-05 17:45:36 | INFO | Log sanitization enabled, personal info will be removed
2025-09-05 17:45:36 | INFO | START kafka_consumer_pokemon
2025-09-05 17:45:36 | INFO | [CONSUMER] Kafka topic: pokemon_battles
2025-09-05 17:45:36 | INFO | [CONSUMER] Group ID: pokemon_group
2025-09-05 17:45:36 | INFO | Kafka broker address: localhost:9092
2025-09-05 17:45:36 | INFO | Kafka API version override: (3, 5, 0)
2025-09-05 17:45:36 | INFO | Creating Kafka consumer. Topic='pokemon_battles' and group ID='pokemon_group'.
2025-09-05 17:45:36 | INFO | Kafka consumer created successfully.
2025-09-05 17:45:36 | INFO | [CONSUMER] Polling topic 'pokemon_battles'...
2025-09-05 17:46:10 | WARNING | Consumer interrupted by user.
2025-09-05 17:46:10 | INFO | END kafka_consumer_pokemon
2025-09-05 17:46:13 | INFO | Logging to file: logs/project_log.log
2025-09-05 17:46:13 | INFO | Log sanitization enabled, personal info will be removed
2025-09-05 17:46:13 | INFO | START kafka_producer_pokemon
2025-09-05 17:46:13 | INFO | Kafka broker address: localhost:9092
2025-09-05 17:46:13 | INFO | Kafka API version override: (3, 5, 0)
2025-09-05 17:46:13 | WARNING | Kafka not ready (attempt 1/5); retrying...
2025-09-05 17:46:14 | WARNING | Kafka not ready (attempt 2/5); retrying...
2025-09-05 17:46:15 | WARNING | Kafka not ready (attempt 3/5); retrying...
2025-09-05 17:46:16 | WARNING | Kafka not ready (attempt 4/5); retrying...
2025-09-05 17:46:17 | WARNING | Kafka not ready (attempt 5/5); retrying...
2025-09-05 17:46:18 | ERROR | Kafka not reachable after retries.
2025-09-05 17:46:18 | ERROR | Kafka broker is not ready. Please check your Kafka setup. Exiting...
